Target,Account_names,lower_account_names,OR,Person or source,News_Source,City,Province,Country,CBC,,
CindyDayCTV,CindyDayCTV,CindyDayCTV,OR,person,CTV,Halifax,Nova Scotia,Canada,Not CBC,,
CityCynthia,CityCynthia,CityCynthia,OR,person,City,Toronto,Ontario,Canada,Not CBC,,
CitylineCA,CitylineCA,CitylineCA,OR,source,City,Toronto,Ontario,Canada,Not CBC,,
CityNews,CityNews,CityNews,OR,source,City,Toronto,Ontario,Canada,Not CBC,,
CityNewsAmanda,CityNewsAmanda,CityNewsAmanda,OR,person,City,Toronto,Ontario,Canada,Not CBC,,
CitytvNews,CitytvNews,CitytvNews,OR,source,City,Toronto,Ontario,Canada,Not CBC,,
CJMENews,CJMENews,CJMENews,OR,source,CJME News,Regina,Saskatchewan,Canada,Not CBC,,
CKNW,CKNW,CKNW,OR,source,CKNW,Vancouver,British Columbia,Canada,Not CBC,,
CKOMNews,CKOMNews,CKOMNews,OR,person,CKOM News,Saskatoon,Saskatchewan,Canada,Not CBC,,
ckrwtherush,ckrwtherush,ckrwtherush,OR,source,CKRW The Rush,Whitehorse,Yukon,Canada,Not CBC,,
CKWS_TV,CKWS_TV,CKWS_TV,OR,source,CKWS TV,Kingston,Ontario,Canada,Not CBC,,
ClaudiaCTV,ClaudiaCTV,ClaudiaCTV,OR,person,CTV,Ottawa,Ontario,Canada,Not CBC,,
CochraneCBC,CochraneCBC,CochraneCBC,OR,person,CBC,Ottawa,Ontario,Canada,CBC,,
colleencbc,colleencbc,colleencbc,OR,person,CBC,Newfoundland,Newfoundland,Canada,CBC,,
coryedelCTV,coryedelCTV,coryedelCTV,OR,person,CTV,Edmonton,Alberta,Canada,Not CBC,,
coubroughCBC,coubroughCBC,coubroughCBC,OR,person,CBC,Winnipeg,Manitoba,Canada,CBC,,
Country97fm,Country97fm,Country97fm,OR,source,Vista Radio,British Columbia,British Columbia,Canada,Not CBC,,
CowichanCitizen,CowichanCitizen,CowichanCitizen,OR,source,Cowichan Citizen,Duncan,British Columbia,Canada,Not CBC,,
CP24,CP24,CP24,OR,source,CP24,Toronto,Ontario,Canada,Not CBC,,
craignorriscbc,craignorriscbc,craignorriscbc,OR,person,CBC,Guelph,Ontario,Canada,CBC,,
CrestonAdvance,CrestonAdvance,CrestonAdvance,OR,source,Creston Advance,Creston,British Columbia,Canada,Not CBC,,
cristina_CP24,cristina_CP24,cristina_CP24,OR,person,CP24,Toronto,Ontario,Canada,Not CBC,,
CRyczakCTV,CRyczakCTV,CRyczakCTV,OR,person,CTV,Winnipeg,Manitoba,Canada,Not CBC,,
CTV_Liveat5,CTV_Liveat5,CTV_Liveat5,OR,source,CTV,Halifax,Nova Scotia,Canada,Not CBC,,
ctv_marke,ctv_marke,ctv_marke,OR,person,CTV,Vancouver,British Columbia,Canada,Not CBC,,
CTV_PowerPlay,CTV_PowerPlay,CTV_PowerPlay,OR,source,CTV,Ottawa,Ontario,Canada,Not CBC,,
CTV_Television,CTV_Television,CTV_Television,OR,source,CTV,Canada,Canada,Canada,Not CBC,,
CTVAllison,CTVAllison,CTVAllison,OR,person,CTV,Prince Albert,Saskatchewan,Canada,Not CBC,,
CTVanchor,CTVanchor,CTVanchor,OR,person,CTV,Atlantic,Atlantic,Canada,Not CBC,,
CTVAtlantic,CTVAtlantic,CTVAtlantic,OR,source,CTV,Atlantic,Atlantic,Canada,Not CBC,,
CTVBarrieNews,CTVBarrieNews,CTVBarrieNews,OR,source,CTV,Barrie,Ontario,Canada,Not CBC,,
CTVBlair,CTVBlair,CTVBlair,OR,person,CTV,Saskatoon,Saskatchewan,Canada,Not CBC,,
CTVBuzzYYC,CTVBuzzYYC,CTVBuzzYYC,OR,source,CTV,Calgary,Alberta,Canada,Not CBC,,
CTVC_DIG,CTVC_DIG,CTVC_DIG,OR,source,CTV,Calgary,Alberta,Canada,Not CBC,,
CTVCalgary,CTVCalgary,CTVCalgary,OR,source,CTV,Calgary,Alberta,Canada,Not CBC,,
CTVChristina,CTVChristina,CTVChristina,OR,person,CTV,Kitchener,Ontario,Canada,Not CBC,,
CTVCommunityVI,CTVCommunityVI,CTVCommunityVI,OR,source,CTV,Vancouver Island,British Columbia,Canada,Not CBC,,
CTVDarrell,CTVDarrell,CTVDarrell,OR,person,CTV,Regina,Saskatchewan,Canada,Not CBC,,
CTVDory,CTVDory,CTVDory,OR,person,CTV,Lethbridge,Alberta,Canada,Not CBC,,
ctvedmonton,ctvedmonton,ctvedmonton,OR,source,CTV,Edmonton,Alberta,Canada,Not CBC,,
CTVIanWhite,CTVIanWhite,CTVIanWhite,OR,person,CTV,Calgary,Alberta,Canada,Not CBC,,
CTVInaSidhu,CTVInaSidhu,CTVInaSidhu,OR,person,CTV,Calgary,Alberta,Canada,Not CBC,,
CTVJamie,CTVJamie,CTVJamie,OR,person,CTV,Regina,Saskatchewan,Canada,Not CBC,,
CTVKahla,CTVKahla,CTVKahla,OR,person,CTV,Regina,Saskatchewan,Canada,Not CBC,,
CTVKathyLe,CTVKathyLe,CTVKathyLe,OR,person,CTV,Calgary,Alberta,Canada,Not CBC,,
CTVKitchener,CTVKitchener,CTVKitchener,OR,source,CTV,Kitchener,Ontario,Canada,Not CBC,,
CTVLethbridge,CTVLethbridge,CTVLethbridge,OR,source,CTV,Lethbridge,Alberta,Canada,Not CBC,,
